test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000021287	ENSMUSG00000021287	Xrcc3	12:111758848-111813873	XH_19_20_21	XH_22_23_24	OK	8.80402	10.5308	0.258380710960058	0.300457	0.4697	0.990002	no	-
ENSMUSG00000041241	ENSMUSG00000041241	Mul1	4:138434670-138442265	XH_19_20_21	XH_22_23_24	OK	19.6562	16.7165	-0.233711625929171	-0.310394	0.59585	0.998171	no	-
ENSMUSG00000021368	ENSMUSG00000021368	Tbc1d7	13:43151739-43171501	XH_19_20_21	XH_22_23_24	OK	16.1684	18.7657	0.214921187789479	0.50618	0.36655	0.959138	no	-
ENSMUSG00000041607	ENSMUSG00000041607	Mbp	18:82475145-82585637	XH_19_20_21	XH_22_23_24	OK	2.94138	2.07559	-0.502971689331879	-0.755095	0.0845	0.625024	no	-
ENSMUSG00000109864	ENSMUSG00000109864	Eid3	10:82833950-82897712	XH_19_20_21	XH_22_23_24	OK	2.5541	1.9436	-0.394083674034969	-0.10377	0.8374	0.998171	no	-
ENSMUSG00000001053	ENSMUSG00000001053	N4bp3	11:51643062-51650842	XH_19_20_21	XH_22_23_24	OK	23.3441	24.7229	0.0827900130113759	0.245198	0.6573	0.998171	no	-
ENSMUSG00000085787	ENSMUSG00000085787	Gm13092	4:150281645-150621966	XH_19_20_21	XH_22_23_24	OK	76.5349	61.5215	-0.315027089282574	-0.160273	0.7963	0.998171	no	-
ENSMUSG00000030374	ENSMUSG00000030374	Strn4	7:16809245-16840931	XH_19_20_21	XH_22_23_24	OK	43.9563	48.7861	0.150400204423543	0.351446	0.52085	0.998171	no	-
ENSMUSG00000034297	ENSMUSG00000034297	Med13	11:86201369-86357602	XH_19_20_21	XH_22_23_24	OK	14.1323	14.4076	0.0278337530408567	0.0330486	0.92635	0.998171	no	-
ENSMUSG00000032298	ENSMUSG00000032298	Neil1	9:57142799-57148305	XH_19_20_21	XH_22_23_24	OK	3.23654	3.73407	0.206296638938661	0.394134	0.4928	0.996309	no	-
ENSMUSG00000116558	ENSMUSG00000116558	Gm49697	12:20312514-20312640	XH_19_20_21	XH_22_23_24	OK	267.625	188.596	-0.504913812908276	-0.388326	0.49625	0.998015	no	-
ENSMUSG00000022900	ENSMUSG00000022900	Ildr1	16:36693977-36726804	XH_19_20_21	XH_22_23_24	OK	6.65872	4.29406	-0.632902526112707	-1.47172	0.00975	0.217664	no	-
ENSMUSG00000038459	ENSMUSG00000038459	Abhd17c	7:84109355-84151893	XH_19_20_21	XH_22_23_24	OK	19.7901	19.6697	-0.00880394842186304	-0.0261955	0.96265	0.998171	no	-
ENSMUSG00000001441	ENSMUSG00000001441	Npepps	11:97205841-97282897	XH_19_20_21	XH_22_23_24	OK	88.4641	74.9248	-0.239648779932877	-0.612983	0.1978	0.83019	no	-
ENSMUSG00000030754	ENSMUSG00000030754	Copb1	7:114215558-114254711	XH_19_20_21	XH_22_23_24	OK	45.4238	43.8418	-0.0511413702100754	-0.173215	0.75945	0.998171	no	-
ENSMUSG00000078851	ENSMUSG00000078851	Hist3h2a	11:58954684-58978050	XH_19_20_21	XH_22_23_24	OK	9.53021	1.8143	-2.39309497496067	-4.61777	5e-05	0.00468291	yes	down
ENSMUSG00000039395	ENSMUSG00000039395	Mreg	1:72159441-72212307	XH_19_20_21	XH_22_23_24	OK	92.8088	66.975	-0.470638930087411	-1.59968	0.00495	0.143251	no	-
ENSMUSG00000033186	ENSMUSG00000033186	Mzt1	14:99034543-99046134	XH_19_20_21	XH_22_23_24	OK	20.9137	17.8706	-0.226860249298194	-0.476568	0.38665	0.967038	no	-
ENSMUSG00000026577	ENSMUSG00000026577	Blzf1	1:164289799-164458355	XH_19_20_21	XH_22_23_24	OK	17.5112	14.383	-0.283913327665965	-0.400965	0.4759	0.991661	no	-
ENSMUSG00000034639	ENSMUSG00000034639	Setmar	6:108065044-108077122	XH_19_20_21	XH_22_23_24	OK	2.34341	2.22343	-0.0758224031570527	-0.140151	0.8028	0.998171	no	-
ENSMUSG00000030888	ENSMUSG00000030888	Rrp8	7:105731729-105744361	XH_19_20_21	XH_22_23_24	OK	18.0725	20.5339	0.184211573792592	0.188622	0.67135	0.998171	no	-
ENSMUSG00000074219	ENSMUSG00000074219	Gm10644	8:83900104-83955205	XH_19_20_21	XH_22_23_24	OK	2.85685	3.21392	0.169908729288587	0.131563	0.8198	0.998171	no	-
ENSMUSG00000000544	ENSMUSG00000000544	Gpa33	1:166130237-166166510	XH_19_20_21	XH_22_23_24	OK	27.1022	32.4426	0.259479478013943	0.685292	0.20705	0.842258	no	-
ENSMUSG00000062184	ENSMUSG00000062184	Hs6st2	X:51387211-51681856	XH_19_20_21	XH_22_23_24	OK	1.6263	1.81645	0.159528241603239	0.206908	0.6172	0.998171	no	-
ENSMUSG00000015247	ENSMUSG00000015247	Nipsnap3b	4:53011879-53022060	XH_19_20_21	XH_22_23_24	OK	21.9215	24.5333	0.162394785886217	0.373166	0.49885	0.998088	no	-
ENSMUSG00000048603	ENSMUSG00000048603	Gm9828	13:98309895-98324415	XH_19_20_21	XH_22_23_24	OK	7.34995	11.636	0.662788860774578	0.243215	0.72955	0.998171	no	-
ENSMUSG00000110744	ENSMUSG00000110744	Gm5171	10:30608140-30803326	XH_19_20_21	XH_22_23_24	OK	14.2665	15.1237	0.084179694930281	0.155999	0.78285	0.998171	no	-
ENSMUSG00000048960	ENSMUSG00000048960	Prex2	1:10993464-11303681	XH_19_20_21	XH_22_23_24	OK	1.28971	0.932416	-0.468001036356925	-0.35403	0.513	0.998171	no	-
ENSMUSG00000104642	ENSMUSG00000104642	Gm9207	3:96454834-96455949	XH_19_20_21	XH_22_23_24	OK	0.593595	1.0065	0.761796327319949	0.934228	0.13145	0.736295	no	-
ENSMUSG00000032059	ENSMUSG00000032059	Alg9	9:50762827-50843542	XH_19_20_21	XH_22_23_24	OK	10.5486	9.41398	-0.164174845407972	-0.296932	0.5483	0.998171	no	-
ENSMUSG00000030623	ENSMUSG00000030623	Prss23os	7:89507782-89527187	XH_19_20_21	XH_22_23_24	OK	5.38432	5.88791	0.128991464657161	0.20385	0.70115	0.998171	no	-
ENSMUSG00000009739	ENSMUSG00000009739	Pou6f1	15:100575317-100599984	XH_19_20_21	XH_22_23_24	OK	2.2708	2.43026	0.0979100212805035	0.135702	0.80035	0.998171	no	-
ENSMUSG00000031629	ENSMUSG00000031629	Cenpu	8:46552027-46617212	XH_19_20_21	XH_22_23_24	OK	25.1931	23.6366	-0.0920061296104825	-0.158237	0.77275	0.998171	no	-
ENSMUSG00000037266	ENSMUSG00000037266	Rsrp1	4:134923591-134927671	XH_19_20_21	XH_22_23_24	OK	83.918	81.4006	-0.0439408663100708	-0.0963036	0.8699	0.998171	no	-
ENSMUSG00000006782	ENSMUSG00000006782	Cnp	11:100574903-100704271	XH_19_20_21	XH_22_23_24	OK	14.8687	16.3664	0.138458502185728	0.120466	0.831	0.998171	no	-
ENSMUSG00000048706	ENSMUSG00000048706	Lurap1l	4:80910645-80955628	XH_19_20_21	XH_22_23_24	OK	0.866914	0.956778	0.142295335168063	0.247488	0.6652	0.998171	no	-
ENSMUSG00000066720	ENSMUSG00000066720	Cldn9	17:23682583-23684026	XH_19_20_21	XH_22_23_24	OK	0.630671	0.969403	0.620208951583567	0.823682	0.14565	0.760695	no	-
ENSMUSG00000020705	ENSMUSG00000020705	Ddx42	11:106216925-106249139	XH_19_20_21	XH_22_23_24	OK	55.7405	49.9611	-0.157920702375118	-0.450604	0.3388	0.944123	no	-
ENSMUSG00000022551	ENSMUSG00000022551	Cyc1	15:76343522-76346260	XH_19_20_21	XH_22_23_24	OK	275.151	340.906	0.309150419402701	0.829389	0.1456	0.760695	no	-
ENSMUSG00000039218	ENSMUSG00000039218	Srrm2	17:23790531-23829136	XH_19_20_21	XH_22_23_24	OK	164.056	165.835	0.0155601659796252	0.0215566	0.9557	0.998171	no	-
ENSMUSG00000027940	ENSMUSG00000027940	Tpm3	3:90072648-90100902	XH_19_20_21	XH_22_23_24	OK	207.088	243.691	0.234809013383281	0.56103	0.27145	0.899844	no	-
ENSMUSG00000028034	ENSMUSG00000028034	Fubp1	3:152210421-152236826	XH_19_20_21	XH_22_23_24	OK	159.244	133.718	-0.252045333543727	-0.584255	0.2417	0.876862	no	-
ENSMUSG00000002477	ENSMUSG00000002477	Snrpd1	18:10617774-10642079	XH_19_20_21	XH_22_23_24	OK	177.161	164.986	-0.102717436981699	-0.331838	0.5609	0.998171	no	-
ENSMUSG00000041845	ENSMUSG00000041845	Rhod	19:4425458-4477447	XH_19_20_21	XH_22_23_24	OK	4.37051	5.01139	0.197409177242449	0.351357	0.50615	0.998171	no	-
ENSMUSG00000026102	ENSMUSG00000026102	Inpp1	1:52785426-52817688	XH_19_20_21	XH_22_23_24	OK	4.23316	2.15995	-0.970737102692561	-0.934707	0.10305	0.674339	no	-
ENSMUSG00000027523	ENSMUSG00000027523	Gnas	2:174281236-174346744	XH_19_20_21	XH_22_23_24	OK	76.7639	74.6718	-0.0398645013820904	-0.0597889	0.92025	0.998171	no	-
ENSMUSG00000025877	ENSMUSG00000025877	Hk3	13:54949410-55021385	XH_19_20_21	XH_22_23_24	OK	0.982207	0.806067	-0.285127344347689	-0.302675	0.491	0.995938	no	-
ENSMUSG00000037784	ENSMUSG00000037784	Dzip1l	9:99629495-99669256	XH_19_20_21	XH_22_23_24	OK	5.7114	5.43788	-0.0708001126587668	-0.0965186	0.86715	0.998171	no	-
ENSMUSG00000021687	ENSMUSG00000021687	Scamp1	13:94201309-94285857	XH_19_20_21	XH_22_23_24	OK	10.1313	7.64292	-0.406623471187259	-0.624832	0.25205	0.885851	no	-
ENSMUSG00000036867	ENSMUSG00000036867	Smad6	9:63953075-64022059	XH_19_20_21	XH_22_23_24	OK	3.2735	3.04086	-0.106354582141782	-0.164326	0.71495	0.998171	no	-
ENSMUSG00000024381	ENSMUSG00000024381	Bin1	18:32359052-32435737	XH_19_20_21	XH_22_23_24	OK	6.64959	6.71051	0.0131570259254873	0.0297447	0.956	0.998171	no	-
ENSMUSG00000031262	ENSMUSG00000031262	Cenpi	X:134308083-134362639	XH_19_20_21	XH_22_23_24	OK	8.7538	7.89876	-0.148283235601131	-0.334714	0.5106	0.998171	no	-
ENSMUSG00000024900	ENSMUSG00000024900	Cpt1a	19:3322333-3385733	XH_19_20_21	XH_22_23_24	OK	14.1622	15.9708	0.173391185653111	0.471063	0.35245	0.951104	no	-
ENSMUSG00000023991	ENSMUSG00000023991	Foxp4	17:47867132-47924645	XH_19_20_21	XH_22_23_24	OK	13.7562	13.7871	0.00323703372260099	0.0066536	0.9873	0.99892	no	-
ENSMUSG00000030314	ENSMUSG00000030314	Atg7	6:114643096-114860614	XH_19_20_21	XH_22_23_24	OK	6.50655	6.77636	0.0586177422909325	0.107054	0.81445	0.998171	no	-
ENSMUSG00000042225	ENSMUSG00000042225	Ammecr1	X:142851145-142966728	XH_19_20_21	XH_22_23_24	OK	3.20937	2.5658	-0.322881404760153	-0.812476	0.1583	0.780722	no	-
ENSMUSG00000070890	ENSMUSG00000070890	Gm12794	4:101940406-101943183	XH_19_20_21	XH_22_23_24	OK	0.576622	0.667068	0.210207953887315	0.257123	0.66145	0.998171	no	-
ENSMUSG00000048696	ENSMUSG00000048696	Mex3d	10:80380354-80387659	XH_19_20_21	XH_22_23_24	OK	10.6388	10.3104	-0.0452351274262639	-0.110417	0.84845	0.998171	no	-
ENSMUSG00000037822	ENSMUSG00000037822	Smim14	5:65413220-65537184	XH_19_20_21	XH_22_23_24	OK	14.6646	12.603	-0.218570528199915	-0.236535	0.63945	0.998171	no	-
ENSMUSG00000036275	ENSMUSG00000036275	9530068E07Rik	11:52396427-52408728	XH_19_20_21	XH_22_23_24	OK	16.9678	17.8692	0.0746755257090825	0.219739	0.69575	0.998171	no	-
ENSMUSG00000029578	ENSMUSG00000029578	Wipi2	5:142627697-142670588	XH_19_20_21	XH_22_23_24	OK	30.0215	31.347	0.0623313176276427	0.174823	0.75445	0.998171	no	-
ENSMUSG00000009470	ENSMUSG00000009470	Tnpo1	13:98839018-98926384	XH_19_20_21	XH_22_23_24	OK	68.428	69.5658	0.0237914401675636	0.057718	0.9163	0.998171	no	-
ENSMUSG00000062991	ENSMUSG00000062991	Nrg1	8:31814550-32884029	XH_19_20_21	XH_22_23_24	OK	2.43641	2.20601	-0.143317600159993	-0.205345	0.69665	0.998171	no	-
ENSMUSG00000058258	ENSMUSG00000058258	Idi1	13:8884913-8892451	XH_19_20_21	XH_22_23_24	OK	34.9291	24.7204	-0.498727382403602	-1.26231	0.0184	0.308833	no	-
ENSMUSG00000022221	ENSMUSG00000022221	Ripk3	14:55784994-55788865	XH_19_20_21	XH_22_23_24	OK	11.3874	14.68	0.366413583320653	0.830547	0.0924	0.646746	no	-
ENSMUSG00000032815	ENSMUSG00000032815	Fanca	8:119910359-124345724	XH_19_20_21	XH_22_23_24	OK	26.0583	23.0802	-0.175087242340069	-0.0269256	0.8316	0.998171	no	-
ENSMUSG00000028865	ENSMUSG00000028865	Cd164l2	4:133209339-133224555	XH_19_20_21	XH_22_23_24	OK	3.89169	4.55512	0.227092266793476	0.323907	0.52395	0.998171	no	-
ENSMUSG00000033096	ENSMUSG00000033096	Apmap	2:150583079-150610254	XH_19_20_21	XH_22_23_24	OK	8.69687	8.35297	-0.0582070124513705	-0.121121	0.8038	0.998171	no	-
ENSMUSG00000047710	ENSMUSG00000047710	Champ1	8:13869640-13881639	XH_19_20_21	XH_22_23_24	OK	26.0493	26.5031	0.0249165131586617	0.0800965	0.887	0.998171	no	-
ENSMUSG00000054342	ENSMUSG00000054342	Kcnn4	7:24370262-24386690	XH_19_20_21	XH_22_23_24	OK	1.20054	1.57003	0.387108653701558	0.597178	0.2661	0.895585	no	-
ENSMUSG00000026849	ENSMUSG00000026849	Tor1a	2:30960626-30967933	XH_19_20_21	XH_22_23_24	OK	24.5979	27.4856	0.160140819779478	0.355184	0.5437	0.998171	no	-
ENSMUSG00000028756	ENSMUSG00000028756	Pink1	4:138313408-138326307	XH_19_20_21	XH_22_23_24	OK	18.4532	14.055	-0.39278756440045	-1.11058	0.0547	0.518693	no	-
ENSMUSG00000027194	ENSMUSG00000027194	Ttc17	2:94300766-94438136	XH_19_20_21	XH_22_23_24	OK	4.38492	4.50896	0.0402441896776217	0.0355153	0.94105	0.998171	no	-
ENSMUSG00000085030	ENSMUSG00000085030	2810455O05Rik	8:119910359-124345724	XH_19_20_21	XH_22_23_24	OK	1.1584	0.887104	-0.384958353036953	-0.0160666	0.7681	0.998171	no	-
ENSMUSG00000022089	ENSMUSG00000022089	Bin3	14:70100104-70153811	XH_19_20_21	XH_22_23_24	OK	6.15689	5.24584	-0.231027987800411	-0.212705	0.65005	0.998171	no	-
ENSMUSG00000003848	ENSMUSG00000003848	Nob1	8:107412485-107425051	XH_19_20_21	XH_22_23_24	OK	87.0608	91.7171	0.075167462028891	0.230291	0.67395	0.998171	no	-
ENSMUSG00000056412	ENSMUSG00000056412	Gm12396	4:40775258-40775564	XH_19_20_21	XH_22_23_24	OK	3.62253	4.86569	0.425646769542527	0.424872	0.4468	0.985312	no	-
ENSMUSG00000002897	ENSMUSG00000002897	Il17ra	6:120463246-120487559	XH_19_20_21	XH_22_23_24	OK	3.38543	3.85135	0.186025148031878	0.243006	0.665	0.998171	no	-
ENSMUSG00000040711	ENSMUSG00000040711	Sh3pxd2b	11:32347819-32428173	XH_19_20_21	XH_22_23_24	OK	3.15748	3.11986	-0.017292304453892	-0.0470983	0.9339	0.998171	no	-
ENSMUSG00000040225	ENSMUSG00000040225	Prrc2c	1:162670724-162740556	XH_19_20_21	XH_22_23_24	OK	88.366	76.2621	-0.212525121625818	-0.432388	0.2651	0.895235	no	-
ENSMUSG00000104444	ENSMUSG00000104444	Gm33051	3:28805435-28813985	XH_19_20_21	XH_22_23_24	OK	10.7108	23.0989	1.10875790984271	0.624732	0.6308	0.998171	no	-
ENSMUSG00000031379	ENSMUSG00000031379	Pir	X:164269370-164373011	XH_19_20_21	XH_22_23_24	OK	15.8809	12.3333	-0.364733804156861	-0.826588	0.14335	0.756986	no	-
ENSMUSG00000048332	ENSMUSG00000048332	Lhfp	3:53038584-53261679	XH_19_20_21	XH_22_23_24	OK	4.47622	3.17637	-0.494901969668837	-1.00014	0.07885	0.60856	no	-
ENSMUSG00000044066	ENSMUSG00000044066	Cep68	11:20227036-20249429	XH_19_20_21	XH_22_23_24	OK	24.2171	23.6282	-0.0355163837466931	-0.0996476	0.86185	0.998171	no	-
ENSMUSG00000033983	ENSMUSG00000033983	Coil	11:88970251-88991613	XH_19_20_21	XH_22_23_24	OK	52.4207	49.8167	-0.073507162310061	-0.176203	0.74235	0.998171	no	-
ENSMUSG00000092225	ENSMUSG00000092225	Gm2381	7:42816828-42867234	XH_19_20_21	XH_22_23_24	OK	5.52958	3.98613	-0.472181142842078	-1.21592	0.03665	0.435074	no	-
ENSMUSG00000031523	ENSMUSG00000031523	Dlc1	8:36567750-36953143	XH_19_20_21	XH_22_23_24	OK	32.8404	29.5918	-0.150274244454052	-0.499915	0.3742	0.962478	no	-
ENSMUSG00000040139	ENSMUSG00000040139	9430038I01Rik	7:137375573-137410762	XH_19_20_21	XH_22_23_24	OK	8.14264	9.31316	0.193774144492736	0.372292	0.52675	0.998171	no	-
ENSMUSG00000081344	ENSMUSG00000081344	Gm14303	2:172509520-172509691	XH_19_20_21	XH_22_23_24	OK	232.043	550.368	1.24600441334367	1.83399	0.0024	0.0909062	no	-
ENSMUSG00000060181	ENSMUSG00000060181	Slc35e3	10:117733678-117746365	XH_19_20_21	XH_22_23_24	OK	6.08402	4.90581	-0.31053353564888	-0.500079	0.37135	0.960483	no	-
ENSMUSG00000003380	ENSMUSG00000003380	Rabac1	7:24969751-24972754	XH_19_20_21	XH_22_23_24	OK	40.2652	53.044	0.397656072501811	1.11966	0.0456	0.479951	no	-
ENSMUSG00000051378	ENSMUSG00000051378	Kif18b	11:102838472-103101658	XH_19_20_21	XH_22_23_24	OK	37.1265	39.2586	0.0805594103633279	0.0641523	0.881	0.998171	no	-
ENSMUSG00000030731	ENSMUSG00000030731	Syt3	7:44310252-44400187	XH_19_20_21	XH_22_23_24	OK	2.40977	3.00482	0.3183831153793	0.422612	0.37825	0.963179	no	-
ENSMUSG00000019966	ENSMUSG00000019966	Kitl	10:100015629-100100416	XH_19_20_21	XH_22_23_24	OK	1.87826	1.59421	-0.236555100021754	-0.229437	0.6077	0.998171	no	-
ENSMUSG00000042784	ENSMUSG00000042784	Muc1	3:89229056-89233381	XH_19_20_21	XH_22_23_24	OK	1.49598	1.18945	-0.330796260160211	-0.275881	0.61605	0.998171	no	-
ENSMUSG00000039968	ENSMUSG00000039968	Rsbn1l	5:20893027-20956398	XH_19_20_21	XH_22_23_24	OK	7.57607	5.54779	-0.449536482331956	-1.02748	0.0364	0.433339	no	-
ENSMUSG00000020935	ENSMUSG00000020935	Dcakd	11:102838472-103101658	XH_19_20_21	XH_22_23_24	OK	140.256	161.824	0.20636309960263	0.276758	0.62685	0.998171	no	-
ENSMUSG00000082860	ENSMUSG00000082860	Gm13204	4:148558428-148582401	XH_19_20_21	XH_22_23_24	OK	3.53792	3.118	-0.182280497915749	-0.0764569	0.87425	0.998171	no	-
ENSMUSG00000045394	ENSMUSG00000045394	Epcam	17:87635978-87651129	XH_19_20_21	XH_22_23_24	OK	124.311	123.334	-0.0113833945181073	-0.0304431	0.95545	0.998171	no	-
ENSMUSG00000028060	ENSMUSG00000028060	Khdc4	3:88685023-88712924	XH_19_20_21	XH_22_23_24	OK	27.7867	26.3799	-0.0749554118924129	-0.182219	0.727	0.998171	no	-
ENSMUSG00000100629	ENSMUSG00000100629	Gm28192	11:120961748-120991330	XH_19_20_21	XH_22_23_24	OK	2.53717	2.69236	0.0856511393625372	0.0236336	0.9616	0.998171	no	-
ENSMUSG00000078794	ENSMUSG00000078794	Dact3	7:16875316-16887462	XH_19_20_21	XH_22_23_24	OK	2.20544	1.80762	-0.286975087207413	-0.593632	0.3028	0.922689	no	-
ENSMUSG00000026443	ENSMUSG00000026443	Lrrn2	1:132880272-132940005	XH_19_20_21	XH_22_23_24	OK	0.540323	0.905835	0.745426189207607	1.11877	0.0396	0.452021	no	-
ENSMUSG00000103653	ENSMUSG00000103653	Gstp-ps	1:191997204-192151026	XH_19_20_21	XH_22_23_24	OK	6.25186	5.30068	-0.238108023646581	-0.26643	0.64225	0.998171	no	-
ENSMUSG00000090841	ENSMUSG00000090841	Myl6	10:128490859-128494145	XH_19_20_21	XH_22_23_24	OK	353.501	358.54	0.0204197839026314	0.0639769	0.91185	0.998171	no	-
ENSMUSG00000073982	ENSMUSG00000073982	Rhog	7:102239122-102256054	XH_19_20_21	XH_22_23_24	OK	8.90553	9.06157	0.0250595582246774	0.0569564	0.92245	0.998171	no	-
ENSMUSG00000022471	ENSMUSG00000022471	Xrcc6	15:81987834-82040085	XH_19_20_21	XH_22_23_24	OK	58.5019	50.7854	-0.204069676120902	-0.510036	0.3344	0.941768	no	-
ENSMUSG00000029468	ENSMUSG00000029468	P2rx7	5:122643910-122691432	XH_19_20_21	XH_22_23_24	OK	3.09903	2.75165	-0.171519744846075	-0.231508	0.67665	0.998171	no	-
ENSMUSG00000021476	ENSMUSG00000021476	Habp4	13:64161823-64186537	XH_19_20_21	XH_22_23_24	OK	3.18348	2.94336	-0.113140692672077	-0.157751	0.7512	0.998171	no	-
ENSMUSG00000037390	ENSMUSG00000037390	Muc3	5:137134921-137149322	XH_19_20_21	XH_22_23_24	OK	1.38313	1.0539	-0.392198778968614	-0.439227	0.39545	0.969466	no	-
ENSMUSG00000049577	ENSMUSG00000049577	Zfpm1	8:119910359-124345724	XH_19_20_21	XH_22_23_24	OK	9.19706	7.29205	-0.334848298677275	-0.0174034	0.66185	0.998171	no	-
ENSMUSG00000042401	ENSMUSG00000042401	Crtac1	19:42283034-42431783	XH_19_20_21	XH_22_23_24	OK	4.13605	3.65946	-0.176622850091644	-0.336607	0.5017	0.998171	no	-
ENSMUSG00000021767	ENSMUSG00000021767	Kat6b	14:21481433-21672478	XH_19_20_21	XH_22_23_24	OK	64.0477	60.9035	-0.0726216240002084	-0.170804	0.73055	0.998171	no	-
ENSMUSG00000021927	ENSMUSG00000021927	Hnrnpa1l2-ps2	15:22549021-23474418	XH_19_20_21	XH_22_23_24	OK	1.2546	1.26635	0.0134487312218235	0.0136366	0.982	0.998784	no	-
ENSMUSG00000024293	ENSMUSG00000024293	Esco1	18:10566506-10610352	XH_19_20_21	XH_22_23_24	OK	7.75369	5.75485	-0.430104730861014	-1.1453	0.03575	0.431059	no	-
ENSMUSG00000020471	ENSMUSG00000020471	Pold2	11:5872179-5878292	XH_19_20_21	XH_22_23_24	OK	84.4802	108.333	0.358787623075267	0.843321	0.1187	0.711948	no	-
ENSMUSG00000033033	ENSMUSG00000033033	Calhm2	19:47090767-47138294	XH_19_20_21	XH_22_23_24	OK	1.68772	2.04198	0.274893161339629	0.140475	0.8441	0.998171	no	-
ENSMUSG00000062683	ENSMUSG00000062683	Atp5g2	15:102662863-102672352	XH_19_20_21	XH_22_23_24	OK	291.701	295.395	0.0181550745033216	0.0545271	0.92345	0.998171	no	-
ENSMUSG00000031970	ENSMUSG00000031970	Dbndd1	8:119910359-124345724	XH_19_20_21	XH_22_23_24	OK	2.13249	2.03182	-0.0697663775916586	-0.00375388	0.9336	0.998171	no	-
ENSMUSG00000090946	ENSMUSG00000090946	Ccdc71l	12:32378703-32382943	XH_19_20_21	XH_22_23_24	OK	1.26659	0.929126	-0.447003433415344	-0.873864	0.138	0.748672	no	-
ENSMUSG00000031163	ENSMUSG00000031163	Glod5	X:8004199-8018492	XH_19_20_21	XH_22_23_24	OK	5.11737	2.81986	-0.859779010271404	-1.30351	0.02505	0.363236	no	-
ENSMUSG00000007589	ENSMUSG00000007589	Tinf2	14:55662262-55681820	XH_19_20_21	XH_22_23_24	OK	23.3219	24.0007	0.0413911563112438	0.0613676	0.90485	0.998171	no	-
ENSMUSG00000114129	ENSMUSG00000114129	Gm16476	12:20615013-20670194	XH_19_20_21	XH_22_23_24	OK	54.2018	47.9822	-0.175841455964544	-0.0971244	0.87605	0.998171	no	-
ENSMUSG00000019564	ENSMUSG00000019564	Arid3a	10:79927042-79955018	XH_19_20_21	XH_22_23_24	OK	3.10549	2.45891	-0.336801991187231	-0.656517	0.19715	0.82977	no	-
ENSMUSG00000032783	ENSMUSG00000032783	Troap	15:99068137-99083409	XH_19_20_21	XH_22_23_24	OK	13.9109	13.789	-0.0126979274864283	-0.0246097	0.96545	0.998171	no	-
ENSMUSG00000024019	ENSMUSG00000024019	Cmtr1	17:29518641-29717044	XH_19_20_21	XH_22_23_24	OK	33.2384	45.8583	0.464331937540082	0.727191	0.15005	0.767678	no	-
ENSMUSG00000050608	ENSMUSG00000050608	Minos1	4:139101813-139131113	XH_19_20_21	XH_22_23_24	OK	93.456	102.229	0.129445318505401	0.242457	0.6743	0.998171	no	-
ENSMUSG00000075470	ENSMUSG00000075470	Alg10b	15:90224310-90233471	XH_19_20_21	XH_22_23_24	OK	9.58999	8.12264	-0.23958060613125	-0.751185	0.1957	0.828572	no	-
ENSMUSG00000086255	ENSMUSG00000086255	Gm11534	11:95865942-95914891	XH_19_20_21	XH_22_23_24	OK	8.53225	2.44464	-1.80330420993873	-0.939228	0.27835	0.905786	no	-
