test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000057278	ENSMUSG00000057278	Snrpg	6:86371303-86379328	XH_19_20_21	XH_22_23_24	OK	145.876	340.748	1.22396264340408	2.45448	5e-05	0.00468291	yes	up
ENSMUSG00000006154	ENSMUSG00000006154	Eps8l1	7:4445696-4480487	XH_19_20_21	XH_22_23_24	OK	2.58421	0.672706	-1.94167528112952	-1.44021	0.0004	0.024814	yes	down
ENSMUSG00000096361	ENSMUSG00000096361	Gm5814	17:47410362-47410737	XH_19_20_21	XH_22_23_24	OK	91.4487	20.2239	-2.17690142628389	-4.24965	5e-05	0.00468291	yes	down
ENSMUSG00000069300	ENSMUSG00000069300	Hist1h2bj	13:22043213-22043676	XH_19_20_21	XH_22_23_24	OK	63.0655	9.19667	-2.77766751538846	-5.41519	5e-05	0.00468291	yes	down
ENSMUSG00000112523	ENSMUSG00000112523	Gm48377	10:106183020-106183891	XH_19_20_21	XH_22_23_24	OK	54.0762	19.0575	-1.50463489914353	-3.73592	5e-05	0.00468291	yes	down
ENSMUSG00000069272	ENSMUSG00000069272	Hist1h2ae	13:23570516-23571220	XH_19_20_21	XH_22_23_24	OK	16.754	1.89672	-3.14292695440102	-5.00101	5e-05	0.00468291	yes	down
ENSMUSG00000114257	ENSMUSG00000114257	Gm47654	14:14429176-14430245	XH_19_20_21	XH_22_23_24	OK	28.5973	8.74783	-1.70888185277706	-4.07971	5e-05	0.00468291	yes	down
ENSMUSG00000042942	ENSMUSG00000042942	Greb1l	18:10325176-10562940	XH_19_20_21	XH_22_23_24	OK	22.145	1.41122	-3.97196617988912	-5.66103	5e-05	0.00468291	yes	down
ENSMUSG00000069267	ENSMUSG00000069267	Hist1h3b	13:23752266-23752886	XH_19_20_21	XH_22_23_24	OK	48.6403	0.935371	-5.70046961622293	-7.65885	5e-05	0.00468291	yes	down
ENSMUSG00000029673	ENSMUSG00000029673	Auts2	5:131437332-132543344	XH_19_20_21	XH_22_23_24	OK	31.8034	7.04214	-2.17509519383877	-4.36195	5e-05	0.00468291	yes	down
ENSMUSG00000068855	ENSMUSG00000068855	Hist2h2ac	3:96220360-96220880	XH_19_20_21	XH_22_23_24	OK	43.9045	0.666804	-6.04096224767614	-6.4302	5e-05	0.00468291	yes	down
ENSMUSG00000039481	ENSMUSG00000039481	Nrtn	17:56751324-56757530	XH_19_20_21	XH_22_23_24	OK	5.34647	1.14974	-2.21727901850898	-3.24933	5e-05	0.00468291	yes	down
ENSMUSG00000088185	ENSMUSG00000088185	Scarna2	3:108554337-108554751	XH_19_20_21	XH_22_23_24	OK	33.8625	0.873056	-5.27747048330358	-5.4464	5e-05	0.00468291	yes	down
ENSMUSG00000102070	ENSMUSG00000102070	Gm28661	1:24614884-24615565	XH_19_20_21	XH_22_23_24	OK	0.509691	26.2528	5.68670461310852	6.03478	5e-05	0.00468291	yes	up
ENSMUSG00000098178	ENSMUSG00000098178	Gm42418	17:39846352-39848827	XH_19_20_21	XH_22_23_24	OK	585.458	16.0635	-5.18770750314818	-13.6304	5e-05	0.00468291	yes	down
ENSMUSG00000105285	ENSMUSG00000105285	Gm43238	5:62428718-62429077	XH_19_20_21	XH_22_23_24	OK	386.789	161.461	-1.26036103409869	-3.69257	5e-05	0.00468291	yes	down
ENSMUSG00000057534	ENSMUSG00000057534	Elobl	11:88964657-88966931	XH_19_20_21	XH_22_23_24	OK	76.3227	32.7143	-1.22219080803062	-2.15155	0.00035	0.0227112	yes	down
ENSMUSG00000061482	ENSMUSG00000061482	Hist1h4d	13:23581597-23582735	XH_19_20_21	XH_22_23_24	OK	36.9916	2.39695	-3.94792598276883	-7.8206	5e-05	0.00468291	yes	down
ENSMUSG00000064339	ENSMUSG00000064339	mt-Rnr2	MT:1093-2675	XH_19_20_21	XH_22_23_24	OK	8521.84	281.43	-4.92031693382503	-8.54279	5e-05	0.00468291	yes	down
ENSMUSG00000069265	ENSMUSG00000069265	Hist1h3a	13:23761852-23762386	XH_19_20_21	XH_22_23_24	OK	68.9028	2.86069	-4.59012753792857	-7.25282	5e-05	0.00468291	yes	down
ENSMUSG00000114456	ENSMUSG00000114456	Hist1h2bh	13:23541713-23543392	XH_19_20_21	XH_22_23_24	OK	6.34127	0.553271	-3.51871359430968	-5.5068	5e-05	0.00468291	yes	down
ENSMUSG00000100210	ENSMUSG00000100210	Hist1h3f	13:23544051-23545312	XH_19_20_21	XH_22_23_24	OK	14.3923	0.453011	-4.98960727184106	-6.8426	5e-05	0.00468291	yes	down
ENSMUSG00000105827	ENSMUSG00000105827	Hist2h2bb	3:96267074-96279001	XH_19_20_21	XH_22_23_24	OK	63.2958	1.68543	-5.23092115758502	-5.02902	0.00045	0.0272117	yes	down
ENSMUSG00000061723	ENSMUSG00000061723	Tnnt3	7:142460808-142516009	XH_19_20_21	XH_22_23_24	OK	4.36457	1.32943	-1.71503171037153	-1.52067	0.0005	0.0294552	yes	down
ENSMUSG00000060981	ENSMUSG00000060981	Hist1h4h	13:23531049-23531519	XH_19_20_21	XH_22_23_24	OK	98.6372	3.9271	-4.6505956062547	-7.95141	5e-05	0.00468291	yes	down
ENSMUSG00000035770	ENSMUSG00000035770	Dync1li2	8:104417679-104443786	XH_19_20_21	XH_22_23_24	OK	30.8249	9.83948	-1.64744223566386	-4.29982	5e-05	0.00468291	yes	down
ENSMUSG00000049539	ENSMUSG00000049539	Hist1h1a	13:23763665-23764406	XH_19_20_21	XH_22_23_24	OK	57.7707	3.42696	-4.07533671801931	-7.64922	5e-05	0.00468291	yes	down
ENSMUSG00000064288	ENSMUSG00000064288	Hist1h4k	13:21750193-21750505	XH_19_20_21	XH_22_23_24	OK	83.6371	1.4091	-5.89129713481061	-5.89708	0.00015	0.0116579	yes	down
ENSMUSG00000047246	ENSMUSG00000047246	Hist1h2be	13:23583669-23622558	XH_19_20_21	XH_22_23_24	OK	4.70975	0.560186	-3.0716726480607	-3.09911	5e-05	0.00468291	yes	down
ENSMUSG00000000031	ENSMUSG00000000031	H19	7:142575528-142578143	XH_19_20_21	XH_22_23_24	OK	187.857	45.2677	-2.05308096336288	-4.80727	5e-05	0.00468291	yes	down
ENSMUSG00000036181	ENSMUSG00000036181	Hist1h1c	13:23738807-23740367	XH_19_20_21	XH_22_23_24	OK	22.9635	4.49157	-2.35405082507933	-5.5247	5e-05	0.00468291	yes	down
ENSMUSG00000058589	ENSMUSG00000058589	Anks1b	10:89873508-90973300	XH_19_20_21	XH_22_23_24	OK	1.28768	0.325799	-1.98272003456102	-0.856308	5e-05	0.00468291	yes	down
ENSMUSG00000097971	ENSMUSG00000097971	Gm26917	17:39843012-39846341	XH_19_20_21	XH_22_23_24	OK	2045.78	73.8736	-4.79144831340064	-10.7807	5e-05	0.00468291	yes	down
ENSMUSG00000097230	ENSMUSG00000097230	Gm26853	8:19789797-19798548	XH_19_20_21	XH_22_23_24	OK	3.33741	1.20554	-1.46904941156488	-3.16732	5e-05	0.00468291	yes	down
ENSMUSG00000069274	ENSMUSG00000069274	Hist1h4f	13:23551257-23551648	XH_19_20_21	XH_22_23_24	OK	64.0648	2.75818	-4.53774337891755	-6.57806	5e-05	0.00468291	yes	down
ENSMUSG00000033713	ENSMUSG00000033713	Foxn3	12:99190077-99563582	XH_19_20_21	XH_22_23_24	OK	37.7413	10.5334	-1.84117292882654	-3.06894	5e-05	0.00468291	yes	down
ENSMUSG00000093803	ENSMUSG00000093803	Ppp2r3d	9:124474341-124476898	XH_19_20_21	XH_22_23_24	OK	16.6946	3.67414	-2.18390302178331	-3.14727	5e-05	0.00468291	yes	down
ENSMUSG00000067455	ENSMUSG00000067455	Hist1h4j	13:21735063-21735837	XH_19_20_21	XH_22_23_24	OK	10.2799	0.751844	-3.77324907186567	-4.97746	5e-05	0.00468291	yes	down
ENSMUSG00000053211	ENSMUSG00000053211	Zfy1	Y:725127-797409	XH_19_20_21	XH_22_23_24	OK	4.1531	1.89005	-1.13576420949116	-2.19731	0.0004	0.024814	yes	down
ENSMUSG00000097375	ENSMUSG00000097375	6720427I07Rik	13:48532904-48546500	XH_19_20_21	XH_22_23_24	OK	1.97403	0.873423	-1.17639148761342	-2.42935	0.0001	0.00844243	yes	down
ENSMUSG00000075031	ENSMUSG00000075031	Hist1h2bb	13:23746733-23747241	XH_19_20_21	XH_22_23_24	OK	58.8939	3.25905	-4.1755948220462	-7.01753	5e-05	0.00468291	yes	down
ENSMUSG00000088088	ENSMUSG00000088088	Rmrp	4:43492782-43495921	XH_19_20_21	XH_22_23_24	OK	8850.99	67.6252	-7.03213406648553	-8.41565	5e-05	0.00468291	yes	down
ENSMUSG00000106106	ENSMUSG00000106106	CT010467.1	17:39846352-39848827	XH_19_20_21	XH_22_23_24	OK	234.859	3.64377	-6.01021917272225	-4.30147	5e-05	0.00468291	yes	down
ENSMUSG00000069308	ENSMUSG00000069308	Hist1h2bp	13:21787460-21789213	XH_19_20_21	XH_22_23_24	OK	4.22825	0.855411	-2.30537101567981	-2.25204	0.0009	0.0458637	yes	down
ENSMUSG00000069310	ENSMUSG00000069310	Hist1h3c	13:23744972-23745602	XH_19_20_21	XH_22_23_24	OK	90.4898	5.64677	-4.00225740608263	-7.68672	5e-05	0.00468291	yes	down
ENSMUSG00000097451	ENSMUSG00000097451	Rian	12:109603881-109661716	XH_19_20_21	XH_22_23_24	OK	178.488	56.2932	-1.66479451710887	-2.39381	5e-05	0.00468291	yes	down
ENSMUSG00000102135	ENSMUSG00000102135	Gm37108	1:6916558-6923588	XH_19_20_21	XH_22_23_24	OK	12.1685	26.6539	1.13119530434357	2.34361	0.00015	0.0116579	yes	up
ENSMUSG00000025194	ENSMUSG00000025194	Abcc2	19:43782191-43840740	XH_19_20_21	XH_22_23_24	OK	7.73446	0.960757	-3.00905708215092	-2.29698	5e-05	0.00468291	yes	down
ENSMUSG00000114279	ENSMUSG00000114279	Hist1h2bm	13:21722043-21722567	XH_19_20_21	XH_22_23_24	OK	55.5316	5.63496	-3.30083168955439	-6.17542	5e-05	0.00468291	yes	down
ENSMUSG00000092837	ENSMUSG00000092837	Rpph1	14:50789247-50807767	XH_19_20_21	XH_22_23_24	OK	3986.6	114.79	-5.11808998681263	-12.8166	5e-05	0.00468291	yes	down
ENSMUSG00000021268	ENSMUSG00000021268	Meg3	12:109541000-109571726	XH_19_20_21	XH_22_23_24	OK	58.2761	24.1006	-1.27383526770895	-1.83372	0.0005	0.0294552	yes	down
ENSMUSG00000099517	ENSMUSG00000099517	Hist1h3g	13:23535421-23535951	XH_19_20_21	XH_22_23_24	OK	60.7023	2.63424	-4.52629248342072	-7.27452	5e-05	0.00468291	yes	down
ENSMUSG00000064354	ENSMUSG00000064354	mt-Co2	MT:7012-7696	XH_19_20_21	XH_22_23_24	OK	4.7221	1.48839	-1.66567599125172	-2.21843	0.0004	0.024814	yes	down
ENSMUSG00000069268	ENSMUSG00000069268	Hist1h2bf	13:23573735-23574196	XH_19_20_21	XH_22_23_24	OK	59.8247	2.1748	-4.78178661880829	-7.02371	5e-05	0.00468291	yes	down
ENSMUSG00000095742	ENSMUSG00000095742	CAAA01147332.1	JH584295.1:65-1479	XH_19_20_21	XH_22_23_24	OK	181.812	20.9211	-3.11941681035573	-4.62793	5e-05	0.00468291	yes	down
ENSMUSG00000061991	ENSMUSG00000061991	Hist1h2af	13:23533905-23534304	XH_19_20_21	XH_22_23_24	OK	45.1172	4.93763	-3.1917868983393	-4.81207	5e-05	0.00468291	yes	down
ENSMUSG00000084830	ENSMUSG00000084830	Gm14539	X:20581140-20581314	XH_19_20_21	XH_22_23_24	OK	0.001	13.0937	13.6765852092529	-nan	5e-05	0.00468291	yes	up
ENSMUSG00000022454	ENSMUSG00000022454	Nell2	15:94629231-95528559	XH_19_20_21	XH_22_23_24	OK	5.38176	1.64971	-1.70586561771425	-3.53577	5e-05	0.00468291	yes	down
ENSMUSG00000060093	ENSMUSG00000060093	Hist1h4a	13:23760691-23761230	XH_19_20_21	XH_22_23_24	OK	82.1167	1.6046	-5.67739004396131	-8.28122	5e-05	0.00468291	yes	down
ENSMUSG00000092341	ENSMUSG00000092341	Malat1	19:5795689-5802672	XH_19_20_21	XH_22_23_24	OK	226.29	76.8525	-1.55800873531853	-2.18474	5e-05	0.00468291	yes	down
ENSMUSG00000048583	ENSMUSG00000048583	Igf2	7:142650765-142670356	XH_19_20_21	XH_22_23_24	OK	3.00954	11.9819	1.99324180110916	2.62588	5e-05	0.00468291	yes	up
ENSMUSG00000058385	ENSMUSG00000058385	Hist1h2bg	13:23571395-23572013	XH_19_20_21	XH_22_23_24	OK	50.3216	2.28213	-4.46272491291185	-7.33143	5e-05	0.00468291	yes	down
ENSMUSG00000069306	ENSMUSG00000069306	Hist1h4m	13:21811745-21812147	XH_19_20_21	XH_22_23_24	OK	39.4473	1.95789	-4.33255493978084	-5.50131	5e-05	0.00468291	yes	down
ENSMUSG00000052565	ENSMUSG00000052565	Hist1h1d	13:23553261-23560686	XH_19_20_21	XH_22_23_24	OK	2.78952	0.118264	-4.55993401120302	-7.28638	5e-05	0.00468291	yes	down
ENSMUSG00000095562	ENSMUSG00000095562	Gm21887	X:170009658-170019281	XH_19_20_21	XH_22_23_24	OK	21.668	1.62401	-3.73793357472307	-4.95655	5e-05	0.00468291	yes	down
ENSMUSG00000069266	ENSMUSG00000069266	Hist1h4b	13:23755821-23757620	XH_19_20_21	XH_22_23_24	OK	114.775	6.14008	-4.22440716902248	-7.40597	5e-05	0.00468291	yes	down
ENSMUSG00000022432	ENSMUSG00000022432	Smc1b	15:85064688-85131964	XH_19_20_21	XH_22_23_24	OK	2.69742	0.966959	-1.48005354850053	-1.58348	0.0002	0.0144655	yes	down
ENSMUSG00000081113	ENSMUSG00000081113	Gm7308	6:127282062-127282509	XH_19_20_21	XH_22_23_24	OK	6.22579	0.950305	-2.71179438931438	-2.7476	0.0005	0.0294552	yes	down
ENSMUSG00000096768	ENSMUSG00000096768	Gm47283	Y:90784737-90816464	XH_19_20_21	XH_22_23_24	OK	491.656	154.425	-1.67074291846319	-4.91589	5e-05	0.00468291	yes	down
ENSMUSG00000064337	ENSMUSG00000064337	mt-Rnr1	MT:69-1024	XH_19_20_21	XH_22_23_24	OK	11928.1	317.463	-5.23163199049047	-9.14245	5e-05	0.00468291	yes	down
ENSMUSG00000099583	ENSMUSG00000099583	Hist1h3d	13:23575762-23577011	XH_19_20_21	XH_22_23_24	OK	19.4606	0.679762	-4.83938266635654	-7.52989	5e-05	0.00468291	yes	down
ENSMUSG00000069273	ENSMUSG00000069273	Hist1h3e	13:23561533-23562369	XH_19_20_21	XH_22_23_24	OK	35.8534	1.21535	-4.88266618681326	-7.75301	5e-05	0.00468291	yes	down
ENSMUSG00000094338	ENSMUSG00000094338	Hist1h2bl	13:21715762-21716143	XH_19_20_21	XH_22_23_24	OK	16.6107	1.59949	-3.37642899405521	-3.77656	5e-05	0.00468291	yes	down
ENSMUSG00000059229	ENSMUSG00000059229	Gm6802	12:19490307-19492290	XH_19_20_21	XH_22_23_24	OK	1.4802	31.5413	4.41337809660364	7.83422	5e-05	0.00468291	yes	up
