tracking_id	XH_1916	XH_1917	XH_1918	XH_1919	XH_1920	XH_1921	XH_1922	XH_1923	XH_1924
ENSMUSG00000000794	0.0730614	0.0807587	0.142052	0.114452	0.298996	0.225232	0.151096	0.106787	0.185973	
ENSMUSG00000000804	10.3584	11.5261	14.3112	17.3702	14.1034	12.1844	14.8	10.7317	13.1794	
ENSMUSG00000000805	21.3269	22.7773	21.3403	13.6262	11.7235	26.5593	11.9338	23.8749	10.7884	
ENSMUSG00000000811	2.87604	3.76491	2.80267	3.23017	3.60085	2.82764	2.58379	2.97558	3.36178	
ENSMUSG00000000817	0	0	0.133782	0	0	0.579576	1.10791	0.0290673	0.0233222	
ENSMUSG00000000823	18.7656	19.4392	22.288	15.9729	19.9206	25.3926	21.283	26.0108	20.6358	
ENSMUSG00000000826	27.7116	26.0634	24.9863	26.0047	21.1665	27.2431	26.4769	29.6737	31.5797	
ENSMUSG00000000827	112.299	113.752	90.537	104.445	131.066	113.961	109.426	108.083	111.555	
ENSMUSG00000000838	25.6047	18.235	23.386	34.6146	32.0119	20.9863	22.4833	20.3412	18.3006	
ENSMUSG00000000861	0.0774239	0.113324	0.358944	0.162194	0.254122	0.0868738	0.51752	0.232861	0.399662	
ENSMUSG00000000869	0.204729	1.01897	0.465384	0	0	0.512578	0.501742	0.288343	0.342325	
ENSMUSG00000000876	1.94843	2.05209	1.63541	2.31551	1.80051	2.0049	1.83924	1.5049	2.19787	
ENSMUSG00000000881	11.5848	10.4383	8.46947	10.0339	7.94812	7.24492	7.5967	8.03039	9.23516	
ENSMUSG00000000884	9.24458	11.6147	10.0447	13.5807	6.91688	11.9665	7.50056	10.9168	10.6092	
ENSMUSG00000000889	0	0	0	0.0672665	0	0	0	0	0	
ENSMUSG00000000901	22.2431	19.8893	17.4897	13.0451	12.2178	18.0816	12.9533	18.7356	16.1485	
ENSMUSG00000000902	81.5834	88.6621	79.6063	73.7057	66.8647	79.7578	72.1875	88.1703	84.1484	
ENSMUSG00000000903	1.63765	1.17057	1.56786	1.3001	0.716636	1.48936	1.47188	1.27937	0.970753	
ENSMUSG00000000915	11.3826	10.5694	7.34695	8.58411	9.62363	12.2169	8.68694	10.1923	12.2087	
ENSMUSG00000000916	14.4454	20.0014	17.7803	10.9175	16.3175	16.7169	16.3091	18.5796	20.6123	
ENSMUSG00000000934	7.27216	8.04317	6.71861	4.92189	7.59253	5.92612	5.07015	6.25504	5.14902	
ENSMUSG00000000938	0.126868	0.0670905	0.105736	0	0.214452	0.0664352	0.0934662	0.0427741	0.0948444	
ENSMUSG00000000942	0.143806	0.10773	0.0763441	0.115984	0	0.119651	0.178967	0.180804	0.144945	
ENSMUSG00000000948	5.43668	5.81886	10.0422	23.4711	27.8594	7.53587	18.2117	4.07939	14.201	
ENSMUSG00000000957	18.5834	13.731	14.2571	11.5004	13.6091	15.1627	13.6406	15.7445	13.8463	
ENSMUSG00000000958	50.971	40.988	37.0946	39.7261	40.6774	36.5974	44.2967	40.1592	51.5771	
ENSMUSG00000000959	31.3062	36.9297	33.8016	29.0365	26.4693	36.1369	32.4429	38.8147	36.6525	
ENSMUSG00000000976	7.50253	11.0322	11.2976	11.7377	9.44285	13.6504	12.3774	11.6106	11.1261	
ENSMUSG00000000982	0.89708	0.0880916	0.421882	0.310092	1.66112	0.401631	0.856166	0.352016	0.701168	
ENSMUSG00000000983	0	0	0	0	0	0	0	0	0	
ENSMUSG00000001014	1.01872	1.76022	1.3444	1.67441	0	1.13826	1.34046	1.70631	2.36156	
ENSMUSG00000001016	124.063	110.635	119.585	96.6855	107.986	115.817	111.205	108.408	112.115	
ENSMUSG00000001017	86.3287	73.6615	82.4467	95.3244	86.4646	78.7002	83.8966	79.9036	91.9554	
ENSMUSG00000001018	10.6725	9.94282	10.8958	14.3433	17.1366	9.73673	11.8373	9.55867	11.2975	
ENSMUSG00000001020	78.5814	109.417	79.9621	89.1203	94.1695	109.496	78.3533	87.6808	63.7882	
ENSMUSG00000001021	0.314442	0.460367	0.504508	0	0	0.189785	0.404234	0.792817	0.193058	
ENSMUSG00000001023	0	0	0	0	0	0	0	0	0	
ENSMUSG00000001025	359.194	383.877	256.729	202.506	186.965	337.465	235.818	321.807	210.485	
ENSMUSG00000001027	0.0119828	0.0392038	0.0416471	0.0484982	0.026622	0.0515417	0.0871183	0.063437	0.0478381	
ENSMUSG00000001029	0.0738191	0.132857	0.0983546	0.648132	0.460979	0.376798	0.536569	0	0.254215	
ENSMUSG00000001034	25.6323	43.1945	39.1788	25.1828	38.5575	36.1582	27.8916	41.6834	29.746	
ENSMUSG00000001036	17.2668	26.2628	25.4393	35.594	39.5027	23.4028	32.2142	26.6714	32.0482	
ENSMUSG00000001039	22.7444	38.4345	33.3964	23.4258	31.4648	39.6271	38.8639	42.6502	35.7135	
ENSMUSG00000001052	26.6619	22.8677	22.7009	14.1615	11.8934	22.4782	13.2939	31.7921	14.4944	
ENSMUSG00000001053	21.2941	26.1258	22.8722	26.9199	23.1991	19.9132	23.9623	19.6395	30.5667	
ENSMUSG00000001054	32.1762	39.6449	35.2108	35.4517	28.5092	35.2859	38.1327	33.4376	42.8781	
ENSMUSG00000001056	307.283	428.379	365.884	332.796	345.238	394.478	349.165	397.784	411.317	
ENSMUSG00000001062	5.59485	5.64495	4.8032	7.09318	1.72617	4.48558	2.64241	5.02523	3.38271	
ENSMUSG00000001065	7.74189	8.38304	7.45177	5.26363	3.75046	8.14993	4.88517	7.38998	6.05645	
ENSMUSG00000001076	0.706424	1.06062	0.835201	0.637781	0.555192	0.83033	0.457314	0.751189	0.459394	
ENSMUSG00000001082	52.5345	50.816	49.7551	43.2419	46.4582	49.0994	54.0444	60.1228	66.5872	
ENSMUSG00000001089	16.7654	17.1082	16.4377	20.726	24.6792	15.2182	16.7099	15.3648	16.274	
ENSMUSG00000001095	0.0228669	0.0226532	0.0120365	0	0	0.074993	0.0374695	0	0.119298	
ENSMUSG00000001098	27.056	29.8504	26.0339	21.8528	21.0981	28.5688	19.6547	25.9004	23.5257	
ENSMUSG00000001100	51.9521	62.2929	61.2763	57.2894	70.2777	61.7905	59.4986	63.2904	66.1304	
ENSMUSG00000001103	0.022621	0	0.161745	0	0.161962	0.050735	0.0947196	0.0874387	0.073221	
ENSMUSG00000001105	30.5173	53.4656	46.2096	60.6996	53.0199	44.6528	53.0253	49.373	55.9293	
ENSMUSG00000001119	5.38032	6.45471	5.15697	5.89029	5.00812	5.84624	5.25224	6.31493	4.19387	
ENSMUSG00000001120	20.0103	20.742	17.4881	15.0575	16.579	15.1604	13.8652	17.3629	15.7019	
ENSMUSG00000001123	41.0344	25.1171	20.674	10.7688	12.304	21.1785	14.3669	19.9359	11.9373	
ENSMUSG00000001127	30.7342	68.2834	50.6177	29.8323	29.4894	68.5291	35.4474	67.5911	37.0689	
ENSMUSG00000001128	5.28521	8.61204	8.54854	4.49659	5.86685	7.27568	6.24839	10.2267	7.85822	
ENSMUSG00000001131	35.9054	63.9805	51.3517	41.0335	37.5726	61.3721	44.3822	62.6155	42.9349	
ENSMUSG00000001134	67.0475	121.99	84.3871	57.0052	34.177	110.76	47.2344	97.1725	55.2829	
ENSMUSG00000001138	9.39623	6.95453	8.48169	5.1292	2.84535	11.5543	5.60071	9.12453	6.36241	
ENSMUSG00000001143	5.19745	7.29614	7.63399	6.99261	6.86407	7.1813	7.99371	6.821	8.8273	
ENSMUSG00000001150	19.2855	22.9311	25.09	36.4911	34.7934	25.2299	36.383	25.7932	31.4757	
ENSMUSG00000001151	27.5657	28.8458	26.915	26.3235	23.2877	25.92	27.1825	24.7997	24.8831	
ENSMUSG00000001155	0.0145298	0.0578013	0.0966777	0	0	0.127957	0.0765685	0.0900635	0.0224711	
ENSMUSG00000001156	2.74645	2.0289	3.27902	2.46782	1.93348	1.9974	2.08983	2.97145	2.69652	
ENSMUSG00000001157	8.68422	8.05714	8.67728	12.122	11.2827	8.70175	9.22899	7.92108	9.92244	
ENSMUSG00000001158	42.2196	52.5149	42.293	116.606	106.268	52.5743	56.642	31.3029	39.8875	
ENSMUSG00000001166	1.13801	1.58147	1.56031	1.21534	1.57739	1.05834	1.249	2.3711	2.46103	
ENSMUSG00000001168	0	0.0666245	0.0177043	0	0	0	0	0.0684479	0.0269111	
ENSMUSG00000001173	8.07759	7.06714	8.00759	8.37145	9.496	8.30048	8.12516	7.35011	7.6503	
ENSMUSG00000001175	294.331	305.444	187.917	156.339	169.814	197.048	139.414	229.086	284.371	
ENSMUSG00000001211	33.4672	34.7505	25.6074	15.3631	14.1326	32.8528	15.5689	29.7781	17.5909	
ENSMUSG00000001225	0	0	0	0	0	0	0	0	0	
ENSMUSG00000001227	0.718367	1.0515	0.949697	2.1273	1.51349	0.542652	0.977408	0.670109	1.72698	
ENSMUSG00000001228	210.226	193.02	165.252	146.643	156.276	193.619	146.905	176.935	187.715	
ENSMUSG00000001229	19.2433	20.269	20.3538	15.9254	15.5676	19.8924	17.0769	20.3886	19.2938	
ENSMUSG00000001240	3.87045	4.5361	3.77746	1.77628	1.33044	2.92129	3.15233	2.8614	2.11646	
ENSMUSG00000001247	41.5923	35.6573	32.0096	23.0898	22.5205	35.127	26.291	34.4627	32.9005	
ENSMUSG00000001248	25.1621	26.7212	25.9624	26.4513	17.839	31.0866	26.5902	28.2807	26.3439	
ENSMUSG00000001249	12.0451	10.0696	6.89035	2.26661	5.77036	6.59421	4.10869	7.07727	5.16082	
ENSMUSG00000001260	0.0153755	0.0151607	0.040799	0.185427	0.0519486	0	0.120506	0.0585027	0.0497956	
ENSMUSG00000001270	129.331	187.914	155.949	211.096	159.859	198.126	182.162	183.998	301.78	
ENSMUSG00000001280	29.2905	31.6877	30.4598	41.2402	29.8339	32.6208	31.024	34.886	30.8378	
ENSMUSG00000001281	10.2309	14.684	13.7388	10.5591	15.6474	11.447	13.1681	12.1312	19.0127	
ENSMUSG00000001285	42.0323	48.865	42.0481	31.9989	34.6499	55.1111	43.0278	50.9487	47.7879	
ENSMUSG00000001288	45.6205	49.4305	55.6746	38.239	51.4713	52.7248	43.2965	51.0687	41.604	
ENSMUSG00000001289	147.845	179.3	128.126	96.4541	133.044	160.772	128.559	156.841	169.294	
ENSMUSG00000001300	9.64749	9.45922	7.04925	6.92231	4.30998	8.90933	6.83283	11.501	7.06909	
ENSMUSG00000001305	81.4088	91.3721	89.6903	100.556	98.8995	94.6617	94.224	87.7123	89.369	
ENSMUSG00000001313	25.5026	36.7184	30.3107	26.8965	22.4905	33.4322	29.1369	34.8702	34.331	
ENSMUSG00000001323	14.4881	16.4335	19.6484	17.3115	19.251	17.768	19.2285	17.6121	17.8477	
ENSMUSG00000001333	0.293272	0.59844	0.40488	0.824155	0.948426	0.571689	0.30644	0.454689	0.465165	
ENSMUSG00000001334	0.553787	0.508442	0.592221	0.0615704	0.404267	0.387843	0.387755	0.39483	0.333002	
ENSMUSG00000001348	7.99896	12.4472	9.8943	16.0596	11.0674	10.8188	11.6982	9.49001	12.738	
ENSMUSG00000001349	8.1313	9.63864	7.223	6.45918	5.9162	8.10876	5.46645	7.72906	5.97586	
ENSMUSG00000001366	13.9902	21.1425	12.5933	15.0348	13.8759	16.863	13.8008	12.7696	14.0542	
ENSMUSG00000001376	15.8529	15.0888	15.9056	23.4652	16.9763	15.2385	17.8027	12.8803	14.2166	
ENSMUSG00000001380	67.102	69.7699	68.5461	62.6146	56.2165	73.1563	67.7276	68.5442	70.3071	
ENSMUSG00000001383	53.8086	54.635	67.3907	58.8151	64.1847	64.4188	74.5656	57.9938	67.7874	
ENSMUSG00000001403	171.148	176.14	174.478	162.326	174.349	175.534	172.503	173.229	193.606	
ENSMUSG00000001415	98.8406	98.883	97.8371	79.2397	75.2854	105.873	82.8847	101.753	96.2323	
ENSMUSG00000001416	544.005	556.439	506.823	401.153	393.628	537.63	456.961	512.97	480.371	
ENSMUSG00000001418	64.6798	58.8503	62.8956	59.6505	50.3717	56.8152	69.7596	63.2857	71.3515	
ENSMUSG00000001419	16.3504	19.447	17.9514	13.3814	13.971	18.9274	13.4201	17.7497	14.0067	
ENSMUSG00000001420	5.58126	2.26316	2.38004	1.91261	4.30623	2.2114	2.99127	2.28037	3.75383	
ENSMUSG00000001424	196.264	279.945	190.605	278.738	190.313	309.438	228.165	221.031	207.265	
ENSMUSG00000001435	90.5492	58.0168	63.8916	83.2008	69.7491	61.5318	79.6338	68.5519	72.691	
ENSMUSG00000001436	13.8702	21.0991	18.0897	10.8532	12.843	17.0508	12.0266	17.0576	13.4307	
ENSMUSG00000001440	274.803	390.551	433.464	394.531	406.859	437.893	421.478	431.784	408.094	
ENSMUSG00000001441	53.2905	80.4133	72.837	101.187	86.7388	77.4662	78.0916	74.4621	72.2208	
