test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	regulation
ENSMUSG00000009739	ENSMUSG00000009739	Pou6f1	15:100575317-100599984	mouse_13	mouse_14	OK	1.70841	1.87119	0.131301809000658	0.151675	0.77255	0.828293	no	-
ENSMUSG00000031629	ENSMUSG00000031629	Cenpu	8:46552027-46617212	mouse_13	mouse_14	OK	4.54158	3.22907	-0.492075577333188	-0.399452	0.34595	0.445213	no	-
ENSMUSG00000037266	ENSMUSG00000037266	Rsrp1	4:134923591-134927671	mouse_13	mouse_14	OK	23.5858	137.767	2.54623991248955	6.94908	5e-05	0.000176968	yes	up
ENSMUSG00000006782	ENSMUSG00000006782	Cnp	11:100574903-100704271	mouse_13	mouse_14	OK	24.5092	19.8693	-0.30278234724141	-0.682888	0.2313	0.323714	no	-
ENSMUSG00000048706	ENSMUSG00000048706	Lurap1l	4:80910645-80955628	mouse_13	mouse_14	OK	11.594	59.9114	2.36945215583854	9.31135	5e-05	0.000176968	yes	up
ENSMUSG00000020705	ENSMUSG00000020705	Ddx42	11:106216925-106249139	mouse_13	mouse_14	OK	20.3731	29.4287	0.530558293715758	1.91479	0.00015	0.000493438	yes	-
ENSMUSG00000022551	ENSMUSG00000022551	Cyc1	15:76343522-76346260	mouse_13	mouse_14	OK	374.679	141.608	-1.40375234848149	-5.10635	5e-05	0.000176968	yes	down
ENSMUSG00000039218	ENSMUSG00000039218	Srrm2	17:23790531-23829136	mouse_13	mouse_14	OK	100.236	189.196	0.916480838413413	1.51111	0.01375	0.0292565	yes	-
ENSMUSG00000027940	ENSMUSG00000027940	Tpm3	3:90072648-90100902	mouse_13	mouse_14	OK	372.585	182.445	-1.03010797994282	-4.43686	5e-05	0.000176968	yes	down
ENSMUSG00000028034	ENSMUSG00000028034	Fubp1	3:152210421-152236826	mouse_13	mouse_14	OK	59.3991	52.8191	-0.169381352630441	-0.56995	0.28985	0.386956	no	-
ENSMUSG00000055421	ENSMUSG00000055421	Pcdh9	14:93013409-93890679	mouse_13	mouse_14	OK	2.13678	11.0323	2.36822331071776	4.67978	5e-05	0.000176968	yes	up
ENSMUSG00000002477	ENSMUSG00000002477	Snrpd1	18:10617774-10642079	mouse_13	mouse_14	OK	91.4344	48.3713	-0.918585735450091	-3.23876	5e-05	0.000176968	yes	-
ENSMUSG00000041845	ENSMUSG00000041845	Rhod	19:4425458-4477447	mouse_13	mouse_14	OK	20.0737	22.5293	0.166495928913748	0.535417	0.34255	0.441916	no	-
ENSMUSG00000026102	ENSMUSG00000026102	Inpp1	1:52785426-52817688	mouse_13	mouse_14	OK	28.5487	10.1385	-1.49358083207089	-2.77903	5e-05	0.000176968	yes	down
ENSMUSG00000027523	ENSMUSG00000027523	Gnas	2:174281236-174346744	mouse_13	mouse_14	OK	500.576	118.893	-2.07392534621139	-4.03362	5e-05	0.000176968	yes	down
ENSMUSG00000062201	ENSMUSG00000062201	Prl3d3	13:27156789-27162593	mouse_13	mouse_14	OK	1.28701	0.200317	-2.68366649678897	-1.6721	0.0059	0.0137769	yes	down
ENSMUSG00000037784	ENSMUSG00000037784	Dzip1l	9:99629495-99669256	mouse_13	mouse_14	OK	3.46535	11.1601	1.68727697759661	2.90663	5e-05	0.000176968	yes	up
ENSMUSG00000021687	ENSMUSG00000021687	Scamp1	13:94201309-94285857	mouse_13	mouse_14	OK	19.6077	28.4031	0.534628082320472	1.73287	0.00315	0.00784039	yes	-
ENSMUSG00000024381	ENSMUSG00000024381	Bin1	18:32359052-32435737	mouse_13	mouse_14	OK	60.99	61.3253	0.00790967048125451	0.0326497	0.95455	0.966049	no	-
ENSMUSG00000031262	ENSMUSG00000031262	Cenpi	X:134308083-134362639	mouse_13	mouse_14	OK	6.35577	7.04362	0.148250160572662	0.463042	0.4087	0.507185	no	-
ENSMUSG00000024900	ENSMUSG00000024900	Cpt1a	19:3322333-3385733	mouse_13	mouse_14	OK	20.6125	16.831	-0.292398597910996	-1.16899	0.0342	0.0651936	no	-
ENSMUSG00000023991	ENSMUSG00000023991	Foxp4	17:47867132-47924645	mouse_13	mouse_14	OK	5.18431	4.96474	-0.0624338211255805	-0.131112	0.7985	0.848913	no	-
ENSMUSG00000030314	ENSMUSG00000030314	Atg7	6:114643096-114860614	mouse_13	mouse_14	OK	33.6545	19.9714	-0.752863953322377	-2.31668	0.0001	0.000337677	yes	-
ENSMUSG00000102550	ENSMUSG00000102550	Gm8276	3:59431536-59433348	mouse_13	mouse_14	OK	1.67591	0.549174	-1.60960944575936	-2.52779	0.00025	0.000789936	yes	down
ENSMUSG00000042225	ENSMUSG00000042225	Ammecr1	X:142851145-142966728	mouse_13	mouse_14	OK	15.4542	1.98436	-2.96125328734297	-9.68531	5e-05	0.000176968	yes	down
ENSMUSG00000037822	ENSMUSG00000037822	Smim14	5:65413220-65537184	mouse_13	mouse_14	OK	222.11	147.028	-0.595183420476761	-1.41374	0.00965	0.0213436	yes	-
ENSMUSG00000036275	ENSMUSG00000036275	9530068E07Rik	11:52396427-52408728	mouse_13	mouse_14	OK	152.773	152.625	-0.00139829915563665	-0.00665003	0.99035	0.992752	no	-
ENSMUSG00000029578	ENSMUSG00000029578	Wipi2	5:142627697-142670588	mouse_13	mouse_14	OK	21.0528	19.4361	-0.115273362611086	-0.386589	0.50465	0.597499	no	-
ENSMUSG00000009470	ENSMUSG00000009470	Tnpo1	13:98839018-98926384	mouse_13	mouse_14	OK	53.2022	31.148	-0.772346373433732	-2.78535	5e-05	0.000176968	yes	-
ENSMUSG00000062991	ENSMUSG00000062991	Nrg1	8:31814550-32884029	mouse_13	mouse_14	OK	6.11016	15.0365	1.29918673048115	3.0747	5e-05	0.000176968	yes	up
ENSMUSG00000058258	ENSMUSG00000058258	Idi1	13:8884913-8892451	mouse_13	mouse_14	OK	57.5643	85.1546	0.564910101433098	1.52728	0.01225	0.0264067	yes	-
ENSMUSG00000022221	ENSMUSG00000022221	Ripk3	14:55784994-55788865	mouse_13	mouse_14	OK	133.502	85.9338	-0.635563757551536	-2.63347	5e-05	0.000176968	yes	-
ENSMUSG00000032815	ENSMUSG00000032815	Fanca	8:119910359-124345724	mouse_13	mouse_14	OK	8.01109	8.38737	0.0662199493668858	0.0143482	0.94545	0.959239	no	-
ENSMUSG00000033096	ENSMUSG00000033096	Apmap	2:150583079-150610254	mouse_13	mouse_14	OK	9.22898	10.5499	0.192986210947345	0.547489	0.2882	0.385393	no	-
ENSMUSG00000047710	ENSMUSG00000047710	Champ1	8:13869640-13881639	mouse_13	mouse_14	OK	4.89663	11.6659	1.25243652044074	4.29385	5e-05	0.000176968	yes	up
ENSMUSG00000054342	ENSMUSG00000054342	Kcnn4	7:24370262-24386690	mouse_13	mouse_14	OK	3.43549	2.6186	-0.391720183683707	-0.828432	0.12005	0.189978	no	-
ENSMUSG00000026849	ENSMUSG00000026849	Tor1a	2:30960626-30967933	mouse_13	mouse_14	OK	26.4389	46.4587	0.813286631201827	2.78935	5e-05	0.000176968	yes	-
ENSMUSG00000028756	ENSMUSG00000028756	Pink1	4:138313408-138326307	mouse_13	mouse_14	OK	31.0801	12.2751	-1.34025636800557	-4.70884	5e-05	0.000176968	yes	down
ENSMUSG00000027194	ENSMUSG00000027194	Ttc17	2:94300766-94438136	mouse_13	mouse_14	OK	5.66281	10.9127	0.946418064668868	0.893893	0.02785	0.0544605	no	-
ENSMUSG00000022089	ENSMUSG00000022089	Bin3	14:70100104-70153811	mouse_13	mouse_14	OK	28.4722	20.8579	-0.44896005926604	-0.966365	0.0615	0.10796	no	-
ENSMUSG00000003848	ENSMUSG00000003848	Nob1	8:107412485-107425051	mouse_13	mouse_14	OK	35.8067	30.4779	-0.232466062686489	-0.775241	0.16475	0.246167	no	-
ENSMUSG00000056412	ENSMUSG00000056412	Gm12396	4:40775258-40775564	mouse_13	mouse_14	OK	15.984	10.4427	-0.614133713787502	-0.868568	0.13425	0.208394	no	-
ENSMUSG00000030495	ENSMUSG00000030495	Slc7a10	7:35186384-35215498	mouse_13	mouse_14	OK	1.48562	0.165338	-3.1675748969841	-1.86999	0.00285	0.00715659	yes	down
ENSMUSG00000002897	ENSMUSG00000002897	Il17ra	6:120463246-120487559	mouse_13	mouse_14	OK	4.79169	11.7083	1.28892513667338	2.40066	5e-05	0.000176968	yes	up
ENSMUSG00000040711	ENSMUSG00000040711	Sh3pxd2b	11:32347819-32428173	mouse_13	mouse_14	OK	9.70624	9.89628	0.0279737865834366	0.108495	0.8528	0.891638	no	-
ENSMUSG00000040225	ENSMUSG00000040225	Prrc2c	1:162670724-162740556	mouse_13	mouse_14	OK	15.8555	21.3704	0.430630538606951	0.772829	0.1525	0.23146	no	-
ENSMUSG00000104444	ENSMUSG00000104444	Gm33051	3:28805435-28813985	mouse_13	mouse_14	OK	161.107	52.9651	-1.60490522882434	-1.98654	0.0018	0.00474109	yes	down
ENSMUSG00000031379	ENSMUSG00000031379	Pir	X:164269370-164373011	mouse_13	mouse_14	OK	29.4675	17.7233	-0.733477416183585	-2.07852	0.0003	0.000933076	yes	-
ENSMUSG00000048332	ENSMUSG00000048332	Lhfp	3:53038584-53261679	mouse_13	mouse_14	OK	145.854	215.648	0.564153383806825	2.62068	5e-05	0.000176968	yes	-
ENSMUSG00000044066	ENSMUSG00000044066	Cep68	11:20227036-20249429	mouse_13	mouse_14	OK	6.25146	11.0388	0.820318279822711	2.24757	0.0001	0.000337677	yes	-
ENSMUSG00000033983	ENSMUSG00000033983	Coil	11:88970251-88991613	mouse_13	mouse_14	OK	2.01241	4.15464	1.04579920898641	2.61996	5e-05	0.000176968	yes	up
ENSMUSG00000031523	ENSMUSG00000031523	Dlc1	8:36567750-36953143	mouse_13	mouse_14	OK	1.31469	12.0502	3.19626252988015	4.54705	5e-05	0.000176968	yes	up
ENSMUSG00000040139	ENSMUSG00000040139	9430038I01Rik	7:137375573-137410762	mouse_13	mouse_14	OK	2.34325	5.01248	1.09701369244706	1.80419	0.00265	0.00671058	yes	up
ENSMUSG00000081344	ENSMUSG00000081344	Gm14303	2:172509520-172509691	mouse_13	mouse_14	OK	132.79	36.6178	-1.85852948428761	-2.01169	0.0021	0.00545329	yes	down
ENSMUSG00000060181	ENSMUSG00000060181	Slc35e3	10:117733678-117746365	mouse_13	mouse_14	OK	1.42707	1.89486	0.409035157146964	0.704418	0.1735	0.256757	no	-
ENSMUSG00000003380	ENSMUSG00000003380	Rabac1	7:24969751-24972754	mouse_13	mouse_14	OK	330.601	209.631	-0.657239011696928	-2.8851	5e-05	0.000176968	yes	-
ENSMUSG00000051378	ENSMUSG00000051378	Kif18b	11:102838472-103101658	mouse_13	mouse_14	OK	5.07675	10.2973	1.02028898293092	0.743063	0.13715	0.212035	no	-
ENSMUSG00000019966	ENSMUSG00000019966	Kitl	10:100015629-100100416	mouse_13	mouse_14	OK	4.84896	8.21482	0.760553611023114	1.16032	0.01555	0.0326324	yes	-
ENSMUSG00000039239	ENSMUSG00000039239	Tgfb2	1:186622791-186707033	mouse_13	mouse_14	OK	13.4052	33.8258	1.33533131129869	2.91842	5e-05	0.000176968	yes	up
ENSMUSG00000100975	ENSMUSG00000100975	Gm28875	12:104925500-104926689	mouse_13	mouse_14	OK	2.28735	1.60206	-0.513748957084392	-0.898391	0.12845	0.201085	no	-
ENSMUSG00000091387	ENSMUSG00000091387	Gcnt4	13:96924688-96950914	mouse_13	mouse_14	OK	0.648724	7.82379	3.59219092869499	8.76607	5e-05	0.000176968	yes	up
ENSMUSG00000039968	ENSMUSG00000039968	Rsbn1l	5:20893027-20956398	mouse_13	mouse_14	OK	0.308292	1.29722	2.07305381401437	2.20095	5e-05	0.000176968	yes	up
ENSMUSG00000020935	ENSMUSG00000020935	Dcakd	11:102838472-103101658	mouse_13	mouse_14	OK	57.836	42.9776	-0.42838285686497	-0.69986	0.1909	0.277828	no	-
ENSMUSG00000082860	ENSMUSG00000082860	Gm13204	4:148558428-148582401	mouse_13	mouse_14	OK	0.001	0.954215	9.89817055504844	-nan	0.1953	0.282671	no	-
ENSMUSG00000045394	ENSMUSG00000045394	Epcam	17:87635978-87651129	mouse_13	mouse_14	OK	4.78595	0.751199	-2.67153827718175	-4.16651	5e-05	0.000176968	yes	down
ENSMUSG00000028060	ENSMUSG00000028060	Khdc4	3:88685023-88712924	mouse_13	mouse_14	OK	15.6688	34.0771	1.12090787101185	3.83553	5e-05	0.000176968	yes	up
ENSMUSG00000100629	ENSMUSG00000100629	Gm28192	11:120961748-120991330	mouse_13	mouse_14	OK	0.462167	1.16047	1.32822307101112	0.229556	0.46255	0.558773	no	-
ENSMUSG00000103653	ENSMUSG00000103653	Gstp-ps	1:191997204-192151026	mouse_13	mouse_14	OK	9.84778	3.89607	-1.3377789339885	-1.0852	0.06285	0.109964	no	-
ENSMUSG00000090841	ENSMUSG00000090841	Myl6	10:128490859-128494145	mouse_13	mouse_14	OK	2091.89	1059.77	-0.981055797645829	-4.74644	5e-05	0.000176968	yes	-
ENSMUSG00000073982	ENSMUSG00000073982	Rhog	7:102239122-102256054	mouse_13	mouse_14	OK	36.4148	41.4633	0.187310021390874	0.687263	0.2284	0.320712	no	-
ENSMUSG00000027318	ENSMUSG00000027318	Adam33	2:131050590-131063814	mouse_13	mouse_14	OK	1.77422	8.36725	2.23756862889459	3.1322	5e-05	0.000176968	yes	up
ENSMUSG00000022471	ENSMUSG00000022471	Xrcc6	15:81987834-82040085	mouse_13	mouse_14	OK	64.0328	35.5884	-0.847404023974837	-2.63859	5e-05	0.000176968	yes	-
ENSMUSG00000021476	ENSMUSG00000021476	Habp4	13:64161823-64186537	mouse_13	mouse_14	OK	9.43969	6.60156	-0.515932497347812	-1.27382	0.0126	0.0270772	yes	-
ENSMUSG00000021767	ENSMUSG00000021767	Kat6b	14:21481433-21672478	mouse_13	mouse_14	OK	2.5617	6.2921	1.29644006766641	0.907149	0.01475	0.0311416	yes	up
ENSMUSG00000024293	ENSMUSG00000024293	Esco1	18:10566506-10610352	mouse_13	mouse_14	OK	2.60501	4.56789	0.810238998707464	1.97385	5e-05	0.000176968	yes	-
ENSMUSG00000020471	ENSMUSG00000020471	Pold2	11:5872179-5878292	mouse_13	mouse_14	OK	126.308	41.9735	-1.5893953444971	-6.58764	5e-05	0.000176968	yes	down
ENSMUSG00000033033	ENSMUSG00000033033	Calhm2	19:47090767-47138294	mouse_13	mouse_14	OK	1.23491	5.93947	2.26592829765989	2.92389	0.0001	0.000337677	yes	up
ENSMUSG00000062683	ENSMUSG00000062683	Atp5g2	15:102662863-102672352	mouse_13	mouse_14	OK	202.521	86.8809	-1.22096055983634	-3.79306	5e-05	0.000176968	yes	down
ENSMUSG00000046180	ENSMUSG00000046180	4930550L24Rik	X:58909359-58920304	mouse_13	mouse_14	OK	10.0725	1.20514	-3.06314914763357	-6.31029	5e-05	0.000176968	yes	down
ENSMUSG00000097352	ENSMUSG00000097352	C920009B18Rik	10:22158568-22374139	mouse_13	mouse_14	OK	96.4698	67.7126	-0.510653059132233	-0.129381	0.70955	0.776928	no	-
ENSMUSG00000106910	ENSMUSG00000106910	Gm16273	5:66298702-66618784	mouse_13	mouse_14	OK	0.001	3.10629	11.6009768091817	-nan	0.1394	0.21484	no	-
ENSMUSG00000007589	ENSMUSG00000007589	Tinf2	14:55662262-55681820	mouse_13	mouse_14	OK	16.365	17.6086	0.1056666075617	0.157124	0.74525	0.806086	no	-
ENSMUSG00000019564	ENSMUSG00000019564	Arid3a	10:79927042-79955018	mouse_13	mouse_14	OK	4.39102	5.88217	0.421792374415704	0.999007	0.07205	0.123364	no	-
ENSMUSG00000032783	ENSMUSG00000032783	Troap	15:99068137-99083409	mouse_13	mouse_14	OK	4.27626	7.91661	0.888533208185594	1.88068	0.00055	0.00162346	yes	-
ENSMUSG00000024019	ENSMUSG00000024019	Cmtr1	17:29518641-29717044	mouse_13	mouse_14	OK	44.218	50.7088	0.197602361220966	0.502649	0.356	0.45573	no	-
ENSMUSG00000050608	ENSMUSG00000050608	Minos1	4:139101813-139131113	mouse_13	mouse_14	OK	695.576	304.693	-1.19085179906394	-3.89412	5e-05	0.000176968	yes	down
ENSMUSG00000075470	ENSMUSG00000075470	Alg10b	15:90224310-90233471	mouse_13	mouse_14	OK	1.986	2.1751	0.131216107376757	0.391693	0.4972	0.590599	no	-
ENSMUSG00000001998	ENSMUSG00000001998	Ap4e1	2:127008716-127067909	mouse_13	mouse_14	OK	4.09243	5.60133	0.452811686590718	1.22489	0.02365	0.0472197	yes	-
ENSMUSG00000028899	ENSMUSG00000028899	Taf12	4:132274374-132295766	mouse_13	mouse_14	OK	47.6457	28.2843	-0.752344550943188	-2.09207	0.00035	0.00107223	yes	-
ENSMUSG00000073155	ENSMUSG00000073155	1810058I24Rik	6:35252653-35263496	mouse_13	mouse_14	OK	154.534	112.028	-0.464064928521929	-1.64725	0.0033	0.00818177	yes	-
ENSMUSG00000033434	ENSMUSG00000033434	Gtpbp6	5:110099968-110108197	mouse_13	mouse_14	OK	19.4243	15.858	-0.292651777872465	-0.797515	0.13815	0.213257	no	-
ENSMUSG00000117822	ENSMUSG00000117822	AC133509.1	19:17926622-17928009	mouse_13	mouse_14	OK	1.76207	0.602345	-1.54860928896159	-2.23667	0.0007	0.00201905	yes	down
ENSMUSG00000028843	ENSMUSG00000028843	Sh3bgrl3	4:134102569-134128789	mouse_13	mouse_14	OK	882.721	411.995	-1.09933069108991	-5.05146	5e-05	0.000176968	yes	down
ENSMUSG00000024053	ENSMUSG00000024053	Emilin2	17:70853766-71475343	mouse_13	mouse_14	OK	18.1189	31.8249	0.812660609005596	0.977594	0.0893	0.147994	no	-
ENSMUSG00000036104	ENSMUSG00000036104	Rab3gap1	1:127868772-127943868	mouse_13	mouse_14	OK	15.7409	13.1613	-0.258216033077584	-0.834927	0.1302	0.203346	no	-
ENSMUSG00000100081	ENSMUSG00000100081	Gm29434	4:115839197-115879250	mouse_13	mouse_14	OK	9.39374	11.4117	0.280742157458903	0.108748	0.89625	0.922868	no	-
ENSMUSG00000032387	ENSMUSG00000032387	Rbpms2	9:65629647-65660528	mouse_13	mouse_14	OK	14.8655	18.9453	0.349871996189597	1.17069	0.03835	0.0720712	no	-
ENSMUSG00000051721	ENSMUSG00000051721	Wdcp	12:4843302-4860043	mouse_13	mouse_14	OK	1.9725	3.87605	0.974561881011366	1.2949	0.0243	0.048347	yes	-
ENSMUSG00000055862	ENSMUSG00000055862	Izumo4	10:80702183-80705373	mouse_13	mouse_14	OK	7.55897	21.0257	1.47589226382357	2.60753	5e-05	0.000176968	yes	up
ENSMUSG00000028081	ENSMUSG00000028081	Rps3a1	3:86137939-86142702	mouse_13	mouse_14	OK	1153.37	344.063	-1.74511074209141	-8.29836	5e-05	0.000176968	yes	down
ENSMUSG00000015697	ENSMUSG00000015697	Setdb1	3:95253673-95357572	mouse_13	mouse_14	OK	6.99861	9.15103	0.386865720398163	0.580031	0.27775	0.374365	no	-
ENSMUSG00000037108	ENSMUSG00000037108	Zcwpw1	5:137787797-137836281	mouse_13	mouse_14	OK	3.17961	3.08831	-0.0420322448878221	-0.0649727	0.90555	0.929502	no	-
ENSMUSG00000025813	ENSMUSG00000025813	Homer2	7:81600480-81707527	mouse_13	mouse_14	OK	35.2262	5.73584	-2.61857216752541	-6.15936	5e-05	0.000176968	yes	down
ENSMUSG00000036943	ENSMUSG00000036943	Rab8b	9:66843663-66919687	mouse_13	mouse_14	OK	13.3594	20.9331	0.647930762646878	2.61415	5e-05	0.000176968	yes	-
ENSMUSG00000084260	ENSMUSG00000084260	Gm12844	4:117728717-117729299	mouse_13	mouse_14	OK	2.77021	2.02889	-0.449304697269121	-0.565907	0.3316	0.43099	no	-
ENSMUSG00000038544	ENSMUSG00000038544	Inip	4:59769636-59801589	mouse_13	mouse_14	OK	5.21367	8.24231	0.660749455404638	1.59064	0.006	0.0139784	yes	-
ENSMUSG00000019478	ENSMUSG00000019478	Rab4a	8:119910359-124345724	mouse_13	mouse_14	OK	42.9103	20.7034	-1.05145627480766	-0.443874	0.6342	0.712275	no	-
ENSMUSG00000062753	ENSMUSG00000062753	AI413582	17:27545706-27566222	mouse_13	mouse_14	OK	72.7032	48.1785	-0.59362938805118	-0.860934	0.1285	0.201143	no	-
ENSMUSG00000018474	ENSMUSG00000018474	Chd3	11:69343272-69369406	mouse_13	mouse_14	OK	35.4699	16.5932	-1.09600312591687	-1.58673	0.00705	0.0161176	yes	down
